Country,Year,AverageTemperature
Denmark,1823,-18.644416666666668
Denmark,1824,-18.145166666666668
Denmark,1825,-18.183916666666665
Denmark,1826,-18.097333333333335
Denmark,1827,-17.90075
Denmark,1828,-17.693749999999998
Denmark,1829,-18.118166666666667
Denmark,1830,-17.89975
Denmark,1831,-18.623416666666667
Denmark,1832,-18.922666666666668
Denmark,1833,-18.475833333333334
Denmark,1834,-18.573833333333333
Denmark,1835,-19.280166666666666
Denmark,1836,-19.37591666666667
Denmark,1837,-18.942333333333334
Denmark,1838,-18.856916666666667
Denmark,1839,-18.930666666666667
Denmark,1840,-18.404416666666666
Denmark,1841,-18.815166666666666
Denmark,1842,-18.096333333333334
Denmark,1843,-18.5515
Denmark,1844,-18.6815
Denmark,1845,-18.53366666666667
Denmark,1846,-17.801333333333336
Denmark,1847,-18.12216666666667
Denmark,1848,-18.943
Denmark,1849,-18.56716666666667
Denmark,1850,-18.645
Denmark,1851,-18.14891666666667
Denmark,1852,-18.322666666666667
Denmark,1853,-18.472416666666668
Denmark,1854,-18.462666666666667
Denmark,1855,-18.611250000000002
Denmark,1856,-18.397333333333332
Denmark,1857,-18.615583333333333
Denmark,1858,-18.39
Denmark,1859,-18.863833333333336
Denmark,1860,-18.628333333333334
Denmark,1861,-18.27075
Denmark,1862,-18.79325
Denmark,1863,-18.856166666666667
Denmark,1864,-18.160416666666666
Denmark,1865,-18.799333333333333
Denmark,1866,-19.846333333333334
Denmark,1867,-18.257833333333334
Denmark,1868,-19.570249999999998
Denmark,1869,-18.961000000000002
Denmark,1870,-18.30516666666667
Denmark,1871,-17.965
Denmark,1872,-17.21
Denmark,1873,-18.41175
Denmark,1874,-18.418833333333335
Denmark,1875,-18.068250000000003
Denmark,1876,-18.478583333333336
Denmark,1877,-18.465500000000002
Denmark,1878,-17.791916666666665
Denmark,1879,-18.109333333333336
Denmark,1880,-18.66775
Denmark,1881,-18.36466666666667
Denmark,1882,-19.9585
Denmark,1883,-18.17075
Denmark,1884,-19.853083333333334
Denmark,1885,-18.680833333333332
Denmark,1886,-19.70525
Denmark,1887,-20.2685
Denmark,1888,-18.697333333333333
Denmark,1889,-18.84916666666667
Denmark,1890,-18.84625
Denmark,1891,-19.417666666666666
Denmark,1892,-18.744249999999997
Denmark,1893,-18.35875
Denmark,1894,-19.83825
Denmark,1895,-17.996333333333332
Denmark,1896,-19.675083333333333
Denmark,1897,-19.019083333333334
Denmark,1898,-19.831166666666665
Denmark,1899,-18.95075
Denmark,1900,-17.767416666666666
Denmark,1901,-18.00175
Denmark,1902,-18.399416666666667
Denmark,1903,-18.599833333333333
Denmark,1904,-18.87
Denmark,1905,-18.164083333333334
Denmark,1906,-19.252
Denmark,1907,-19.09391666666667
Denmark,1908,-17.77716666666667
Denmark,1909,-18.415916666666668
Denmark,1910,-19.493583333333333
Denmark,1911,-18.62725
Denmark,1912,-17.591166666666666
Denmark,1913,-18.473916666666668
Denmark,1914,-19.737666666666666
Denmark,1915,-18.42625
Denmark,1916,-17.749416666666665
Denmark,1917,-18.545833333333334
Denmark,1918,-19.531499999999998
Denmark,1919,-18.512333333333334
Denmark,1920,-19.119666666666667
Denmark,1921,-19.093666666666667
Denmark,1922,-18.578416666666666
Denmark,1923,-17.47191666666667
Denmark,1924,-17.919
Denmark,1925,-17.763916666666667
Denmark,1926,-17.328083333333336
Denmark,1927,-17.379416666666668
Denmark,1928,-16.358
Denmark,1929,-16.222083333333334
Denmark,1930,-16.497583333333335
Denmark,1931,-17.243
Denmark,1932,-16.363666666666667
Denmark,1933,-16.182166666666667
Denmark,1934,-17.037833333333335
Denmark,1935,-16.944583333333334
Denmark,1936,-16.692666666666668
Denmark,1937,-16.9455
Denmark,1938,-17.2775
Denmark,1939,-16.226583333333334
Denmark,1940,-16.517500000000002
Denmark,1941,-16.629083333333334
Denmark,1942,-17.117333333333335
Denmark,1943,-18.28975
Denmark,1944,-18.075083333333335
Denmark,1945,-17.051
Denmark,1946,-16.79925
Denmark,1947,-15.863416666666666
Denmark,1948,-18.360833333333336
Denmark,1949,-18.587416666666666
Denmark,1950,-17.593166666666665
Denmark,1951,-18.414083333333334
Denmark,1952,-17.365666666666666
Denmark,1953,-17.83375
Denmark,1954,-17.401833333333332
Denmark,1955,-17.818416666666668
Denmark,1956,-17.950750000000003
Denmark,1957,-17.240833333333335
Denmark,1958,-17.44033333333333
Denmark,1959,-17.864
Denmark,1960,-16.951083333333333
Denmark,1961,-18.430666666666667
Denmark,1962,-16.929416666666665
Denmark,1963,-17.228666666666665
Denmark,1964,-18.04225
Denmark,1965,-17.029416666666666
Denmark,1966,-18.311833333333336
Denmark,1967,-18.03291666666667
Denmark,1968,-18.275833333333335
Denmark,1969,-17.867416666666667
Denmark,1970,-18.2145
Denmark,1971,-19.14225
Denmark,1972,-18.274916666666666
Denmark,1973,-18.714000000000002
Denmark,1974,-17.661166666666666
Denmark,1975,-18.94575
Denmark,1976,-17.499750000000002
Denmark,1977,-17.61916666666667
Denmark,1978,-17.918166666666668
Denmark,1979,-18.07166666666667
Denmark,1980,-17.009249999999998
Denmark,1981,-17.817583333333335
Denmark,1982,-18.438083333333335
Denmark,1983,-19.85775
Denmark,1984,-18.769166666666667
Denmark,1985,-17.07641666666667
Denmark,1986,-17.616583333333335
Denmark,1987,-18.201666666666664
Denmark,1988,-17.325
Denmark,1989,-18.784583333333334
Denmark,1990,-17.870333333333335
Denmark,1991,-17.827916666666667
Denmark,1992,-19.00041666666667
Denmark,1993,-18.716166666666666
Denmark,1994,-18.085416666666667
Denmark,1995,-17.69783333333333
Denmark,1996,-16.805666666666667
Denmark,1997,-17.455333333333332
Denmark,1998,-16.62091666666667
Denmark,1999,-17.699083333333334
Denmark,2000,-16.8245
Denmark,2001,-17.06775
Denmark,2002,-16.291083333333336
Denmark,2003,-15.747083333333334
Denmark,2004,-16.77058333333333
Denmark,2005,-15.643
Denmark,2006,-16.574333333333332
Denmark,2007,-16.533083333333334
Denmark,2008,-16.843333333333334
Denmark,2009,-16.783166666666666
Denmark,2010,-15.085749999999999
Denmark,2011,-16.641416666666668
Denmark,2012,-16.260916666666667
Denmark,2013,-14.92725
Denmark (Europe),1806,8.021333333333333
Denmark (Europe),1807,7.749666666666666
Denmark (Europe),1808,7.340583333333334
Denmark (Europe),1809,7.277583333333333
Denmark (Europe),1810,7.198333333333334
Denmark (Europe),1811,8.628833333333334
Denmark (Europe),1812,6.401916666666666
Denmark (Europe),1813,7.787583333333333
Denmark (Europe),1814,6.401833333333333
Denmark (Europe),1815,7.4727500000000004
Denmark (Europe),1816,6.663333333333334
Denmark (Europe),1817,7.6925
Denmark (Europe),1818,8.151833333333334
Denmark (Europe),1819,8.3405
Denmark (Europe),1820,6.9014999999999995
Denmark (Europe),1821,7.896916666666667
Denmark (Europe),1822,9.082333333333333
Denmark (Europe),1823,7.277
Denmark (Europe),1824,8.453166666666666
Denmark (Europe),1825,8.392416666666668
Denmark (Europe),1826,8.725583333333335
Denmark (Europe),1827,7.730666666666667
Denmark (Europe),1828,8.000916666666667
Denmark (Europe),1829,5.864333333333334
Denmark (Europe),1830,7.050999999999999
Denmark (Europe),1831,8.14575
Denmark (Europe),1832,7.683416666666667
Denmark (Europe),1833,7.787166666666667
Denmark (Europe),1834,9.078750000000001
Denmark (Europe),1835,7.827166666666667
Denmark (Europe),1836,7.458583333333333
Denmark (Europe),1837,7.1514999999999995
Denmark (Europe),1838,5.991166666666667
Denmark (Europe),1839,7.16125
Denmark (Europe),1840,6.820666666666667
Denmark (Europe),1841,7.507916666666667
Denmark (Europe),1842,8.22725
Denmark (Europe),1843,7.974166666666666
Denmark (Europe),1844,6.660083333333334
Denmark (Europe),1845,6.87125
Denmark (Europe),1846,8.94675
Denmark (Europe),1847,7.470416666666666
