Year,TotalEmissions
1750,46.75264
1751,46.75264
1752,46.770959999999995
1753,46.770959999999995
1754,46.78928
1755,46.8076
1756,50.03192
1757,50.050239999999995
1758,50.06856
1759,50.08688
1760,50.08688
1761,54.8684
1762,54.886720000000004
1763,54.90504
1764,54.92336
1765,54.941680000000005
1766,61.298719999999996
1767,61.31704
1768,61.33536
1769,61.35368
1770,61.372
1771,68.0588
1772,68.07712000000001
1773,68.09544
1774,68.11376
1775,68.13208
1776,75.18528
1777,75.2036
1778,75.22192000000001
1779,75.24024
1780,75.27688
1781,84.21704
1782,84.23536
1783,84.27199999999999
1784,84.29032
1785,84.341616
1786,95.754976
1787,95.79161599999999
1788,95.809936
1789,95.846576
1790,95.88321599999999
1791,107.095056
1792,109.47665599999999
1793,109.568256
1794,109.403376
1795,109.458336
1796,114.752816
1797,120.468656
1798,125.470016
1799,132.138496
1800,139.950144
1801,139.261312
1802,183.331904
1803,156.844848
1804,170.877968
1805,166.411552
1806,174.56028799999999
1807,183.614032
1808,174.53464
1809,174.640896
1810,186.06158399999998
1811,197.01328
1812,204.06648
1813,205.05576
1814,209.51851200000002
1815,216.234624
1816,236.99484800000002
1817,245.715168
1818,246.65315199999998
1819,248.210352
1820,251.85236799999998
1821,255.516368
1822,265.592368
1823,280.944528
1824,290.59184
1825,301.506896
1826,304.463744
1827,326.678576
1828,329.99449599999997
1829,328.382336
1830,441.432631
1831,418.10713300000003
1832,419.504075
1833,426.974487
1834,435.660592
1835,443.593152
1836,514.414608
1837,512.842752
1838,530.155152
1839,547.024208
1840,582.898432
1841,600.665168
1842,633.681472
1843,648.7331839999999
1844,688.498576
1845,753.640832
1846,763.52264
1847,831.83792
1848,835.472608
1849,881.067424
1850,944.820669
1851,944.68912
1852,984.088112
1853,1025.619552
1854,1209.251904
1855,1224.313064
1856,1306.205008
1857,1317.120064
1858,1336.444612
1859,1414.265979
1860,1556.020613
1861,1644.732431
1862,1672.9142689999999
1863,1776.84959
1864,1915.488899
1865,2040.633899
1866,2106.900672
1867,2239.315766
1868,2286.112951
1869,2415.5370589999998
1870,2462.33013
1871,2620.5933449999998
1872,2874.999453
1873,3043.792206
1874,2841.3384340000002
1875,3101.246854
1876,3155.571851
1877,3194.071408
1878,3222.261228
1879,3409.9138030000004
1880,3852.0937910000002
1881,3972.823122
1882,4167.418955
1883,4423.1779400000005
1884,4448.822836
1885,4476.600641
1886,4523.482066
1887,4734.407562
1888,5173.386399
1889,5245.504916
1890,5643.516954
1891,5889.457787
1892,5896.274089
1893,5800.918938
1894,6090.15575
1895,6394.2535689999995
1896,6628.969821000001
1897,6947.8195319999995
1898,7284.788703
1899,7900.05389
1900,8325.810085
1901,8507.803476
1902,8666.733594
1903,9335.714639
1904,9465.04601
1905,9987.748478
1906,10447.272459
1907,11753.666065
1908,11481.591123
1909,11819.292271
1910,12291.569664
1911,12546.897295
1912,13115.237331
1913,14202.115119
1914,12832.834487
1915,12530.429487
1916,13438.314622
1917,13874.044858
1918,13452.109491
1919,11647.695371
1920,13548.025477
1921,12022.897065
1922,12758.567433
1923,13964.108909
1924,14402.65622
1925,14446.619014
1926,13809.129101
1927,15549.199964000001
1928,15512.202573
1929,16687.245466
1930,15481.004005
1931,13972.381053000001
1932,12708.41726
1933,13320.080093
1934,14521.547376
1935,15242.320472
1936,16617.188086000002
1937,17834.246625
1938,17069.43741
1939,17913.994429
1940,19464.694328
1941,19611.236067
1942,19223.991062
1943,19510.061021
1944,19537.381569
1945,15566.546235999998
1946,17597.725288
1947,19654.90935
1948,20786.980405000002
1949,20731.145996
1950,23144.262037
1951,24701.160881
1952,25150.896831000002
1953,25873.041385
1954,26671.136366
1955,29192.519356
1956,31105.583632
1957,32223.1189
1958,33049.117832
1959,34551.082274
1960,36527.071805
1961,36912.397265
1962,38416.669552
1963,40730.666028
1964,42849.457175
1965,44752.045443
1966,46706.278770000004
1967,48190.69398
1968,50820.953803000004
1969,54145.385260999996
1970,58359.901323
1971,60744.925482
1972,63450.823636
1973,66810.297002
1974,66714.857319
1975,66757.683419
1976,70421.126691
1977,72126.745496
1978,74665.790947
1979,76753.461274
1980,76520.754527
1981,74378.187905
1982,73889.80795100001
1983,74492.606202
1984,76351.273988
1985,79177.877733
1986,80133.496843
1987,82113.911091
1988,84874.61172
1989,85979.297689
1990,88010.113669
1991,88534.588762
1992,85683.43290700001
1993,85945.148629
1994,85845.10976
1995,87252.947894
1996,89621.705376
1997,89708.389951
1998,89286.500106
1999,90256.263511
2000,92645.114758
2001,93621.941911
2002,95421.778815
2003,99717.475542
2004,103831.361328
2005,106717.69594
2006,109913.343437
2007,112697.704389
2008,114658.894877
2009,112219.345607
2010,117872.644416
2011,121158.730125
2012,123016.391168
2013,123296.895686
2014,123731.266468
2015,123813.292947
2016,123890.70511499999
2017,125438.732617
2018,127746.948297
2019,127568.91499800001
