Year,TotalEmissions,LANDAVERAGETEMPERATURE,LANDMAXTEMPERATURE,LANDMINTEMPERATURE,LANDANDOCEANAVERAGETEMPERATURE
1750,46.75264,8.719363636363637,,,
1751,46.75264,7.976142857142856,,,
1752,46.770959999999995,5.779833333333333,,,
1753,46.770959999999995,8.388083333333332,,,
1754,46.78928,8.469333333333333,,,
1755,46.8076,8.355583333333334,,,
1756,50.03192,8.849583333333333,,,
1757,50.050239999999995,9.022,,,
1758,50.06856,6.7435833333333335,,,
1759,50.08688,7.985083333333333,,,
1760,50.08688,7.1851666666666665,,,
1761,54.8684,8.772499999999999,,,
1762,54.88672,8.6065,,,
1763,54.90504,7.49675,,,
1764,54.92336,8.400333333333334,,,
1765,54.941680000000005,8.251916666666666,,,
1766,61.29872,8.405666666666667,,,
1767,61.31704,8.2215,,,
1768,61.33536,6.781333333333333,,,
1769,61.35368,7.694583333333333,,,
1770,61.372,7.691916666666667,,,
1771,68.0588,7.853166666666667,,,
1772,68.07712000000001,8.1935,,,
1773,68.09544,8.2215,,,
1774,68.11376,8.772166666666667,,,
1775,68.13208,9.183083333333334,,,
1776,75.18528,8.304,,,
1777,75.2036,8.25625,,,
1778,75.22192000000001,8.542250000000001,,,
1779,75.24024,8.98325,,,
1780,75.27688,9.432916666666666,,,
1781,84.21704,8.102583333333333,,,
1782,84.23536,7.90125,,,
1783,84.27199999999999,7.680833333333333,,,
1784,84.29032,7.861999999999999,,,
1785,84.341616,7.363,,,
1786,95.754976,8.258166666666666,,,
1787,95.791616,8.031833333333333,,,
1788,95.809936,8.447166666666666,,,
1789,95.846576,8.334166666666667,,,
1790,95.883216,7.982333333333333,,,
1791,107.095056,8.234250000000001,,,
1792,109.476656,8.089,,,
1793,109.568256,8.229166666666666,,,
1794,109.403376,8.526000000000002,,,
1795,109.458336,8.350333333333333,,,
1796,114.752816,8.270999999999999,,,
1797,120.468656,8.510583333333333,,,
1798,125.470016,8.670250000000001,,,
1799,132.138496,8.50575,,,
1800,139.950144,8.484250000000001,,,
1801,139.261312,8.589666666666666,,,
1802,183.331904,8.578166666666666,,,
1803,156.844848,8.503,,,
1804,170.877968,8.844833333333332,,,
1805,166.411552,8.56275,,,
1806,174.560288,8.434083333333334,,,
1807,183.614032,8.281416666666667,,,
1808,174.53464,7.626833333333333,,,
1809,174.640896,7.076416666666667,,,
1810,186.061584,6.922666666666667,,,
1811,197.01328,6.859500000000001,,,
1812,204.06648,7.04625,,,
1813,205.05576,7.739916666666667,,,
1814,209.518512,7.59175,,,
1815,216.234624,7.239333333333334,,,
1816,236.994848,6.9375,,,
1817,245.715168,6.975666666666666,,,
1818,246.653152,7.828916666666667,,,
1819,248.210352,7.369166666666666,,,
1820,251.852368,7.61625,,,
1821,255.516368,8.090083333333334,,,
1822,265.592368,8.188333333333334,,,
1823,280.944528,7.718666666666667,,,
1824,290.59184,8.547166666666667,,,
1825,301.506896,8.389333333333333,,,
1826,304.463744,8.356583333333333,,,
1827,326.678576,8.80875,,,
1828,329.99449599999997,8.165333333333333,,,
1829,328.382336,7.941833333333332,,,
1830,441.432631,8.51675,,,
1831,418.107133,7.639166666666667,,,
1832,419.504075,7.450166666666667,,,
1833,426.974487,8.013,,,
1834,435.660592,8.146749999999999,,,
1835,443.593152,7.392499999999999,,,
1836,514.414608,7.695833333333333,,,
1837,512.842752,7.375666666666667,,,
1838,530.155152,7.514916666666667,,,
1839,547.024208,7.63225,,,
1840,582.898432,7.796250000000001,,,
1841,600.665168,7.688166666666667,,,
1842,633.681472,8.02275,,,
1843,648.7331839999999,8.173666666666668,,,
1844,688.498576,7.646333333333334,,,
1845,753.640832,7.851166666666667,,,
1846,763.52264,8.55275,,,
1847,831.83792,8.086,,,
1848,835.472608,7.979499999999999,,,
1849,881.067424,7.984416666666667,,,
1850,944.820669,7.900666666666667,19.233,-3.2060000000000004,14.867166666666668
1851,944.68912,8.178583333333334,17.360999999999994,-3.242,14.991833333333334
