Country_AvgTemp_BKey,Year,Country,TotalEmissions,PerCapitaEmissions,ShareOfGlobalEmissions,AverageTemperature
Puerto Rico||1920||25.395166666666668,1920,Puerto Rico,0.208848,,0.005944,25.395166666666668
Qatar||1949||26.396,1949,Qatar,0.260144,10.811853,0.004965,26.396
Qatar||1950||26.293000000000003,1950,Qatar,0.351744,14.06976,0.005864,26.293000000000003
Qatar||1951||27.114,1951,Qatar,0.388384,14.384593,0.006093,27.114
Qatar||1952||26.952250000000003,1952,Qatar,0.194192,6.473067,0.003006,26.952250000000003
Qatar||1953||27.02925,1953,Qatar,0.3664,11.45,0.005517,27.02925
Qatar||1954||27.22758333333333,1954,Qatar,0.608224,17.888941,0.008964,27.22758333333333
Qatar||1955||26.889416666666666,1955,Qatar,0.417696,11.602667,0.005616,26.889416666666666
Qatar||1956||26.610833333333332,1956,Qatar,0.505632,13.306105,0.006386,26.610833333333332
Qatar||1957||26.527916666666663,1957,Qatar,0.31144,7.985641,0.003808,26.527916666666663
Qatar||1958||27.122333333333337,1958,Qatar,0.168544,4.012952,0.002004,27.122333333333337
Qatar||1959||26.274749999999997,1959,Qatar,0.1832,4.163636,0.00207,26.274749999999997
Qatar||1960||27.045916666666667,1960,Qatar,0.175872,3.741957,0.001884,27.045916666666667
Qatar||1961||26.697916666666668,1961,Qatar,0.161216,3.161098,0.001723,26.697916666666668
Qatar||1962||27.160666666666668,1962,Qatar,0.190528,3.402286,0.001967,27.160666666666668
Qatar||1963||26.897499999999997,1963,Qatar,6.133536,98.928,0.059921,26.897499999999997
Qatar||1964||26.25883333333333,1964,Qatar,6.269104,92.192706,0.058211,26.25883333333333
Qatar||1965||27.068166666666663,1965,Qatar,6.287424,84.965189,0.055793,27.068166666666663
Qatar||1966||27.210583333333332,1966,Qatar,6.272768,78.4096,0.053187,27.210583333333332
Qatar||1967||26.55975,1967,Qatar,6.683136,77.710884,0.054908,26.55975
Qatar||1968||26.698333333333338,1968,Qatar,7.075184,76.077247,0.05512,26.698333333333338
Qatar||1969||27.49025,1969,Qatar,7.166576,70.956198,0.052342,27.49025
Qatar||1970||27.28725,1970,Qatar,7.561456,68.740509,0.050998,27.28725
Qatar||1971||26.642750000000003,1971,Qatar,9.144304,76.842891,0.059279,26.642750000000003
Qatar||1972||26.35466666666667,1972,Qatar,10.775408,82.255023,0.066751,26.35466666666667
Qatar||1973||26.933916666666665,1973,Qatar,12.457184,87.726648,0.073274,26.933916666666665
Qatar||1974||26.8715,1974,Qatar,10.478535,68.042435,0.061908,26.8715
Qatar||1975||26.657,1975,Qatar,10.947378,66.752305,0.064766,26.657
Qatar||1976||26.61916666666667,1976,Qatar,10.374896,59.625839,0.058287,26.61916666666667
Qatar||1977||27.519833333333334,1977,Qatar,9.916029,54.483676,0.054222,27.519833333333334
Qatar||1978||27.08866666666667,1978,Qatar,10.519005,54.786484,0.055483,27.08866666666667
Qatar||1979||27.527833333333337,1979,Qatar,14.342442,69.963132,0.073686,27.527833333333337
Qatar||1980||27.43658333333333,1980,Qatar,13.081691,58.400406,0.067538,27.43658333333333
Qatar||1981||27.375,1981,Qatar,12.840684,51.776952,0.068152,27.375
Qatar||1982||26.271,1982,Qatar,12.334909,44.530357,0.065959,26.271
Qatar||1983||26.404,1983,Qatar,11.242561,36.383693,0.059559,26.404
Qatar||1984||26.770583333333335,1984,Qatar,12.298033,36.064613,0.063306,26.770583333333335
Qatar||1985||26.974083333333336,1985,Qatar,12.377808,33.363364,0.06153,26.974083333333336
Qatar||1986||27.20416666666667,1986,Qatar,13.266982,33.334126,0.065029,27.20416666666667
Qatar||1987||27.37975,1987,Qatar,11.470526,27.181341,0.054459,27.37975
Qatar||1988||27.37625,1988,Qatar,11.897661,26.796534,0.054412,27.37625
Qatar||1989||26.75325,1989,Qatar,14.29237,30.935866,0.064399,26.75325
Qatar||1990||27.320333333333338,1990,Qatar,11.743657,24.671548,0.05174,27.320333333333338
Qatar||1991||26.71975,1991,Qatar,17.645271,36.232589,0.076157,26.71975
Qatar||1992||26.14741666666667,1992,Qatar,26.996554,54.538493,0.120279,26.14741666666667
Qatar||1993||27.04975,1993,Qatar,30.984977,61.846261,0.136602,27.04975
Qatar||1994||27.529583333333335,1994,Qatar,30.704374,60.560895,0.13441,27.529583333333335
Qatar||1995||27.103083333333338,1995,Qatar,31.717145,61.826793,0.135937,27.103083333333338
Qatar||1996||27.60808333333333,1996,Qatar,32.20376,61.575067,0.133899,27.60808333333333
Qatar||1997||27.157916666666665,1997,Qatar,37.393527,69.894443,0.154575,27.157916666666665
Qatar||1998||28.424833333333336,1998,Qatar,32.271043,58.462034,0.133837,28.424833333333336
Qatar||1999||28.567000000000004,1999,Qatar,31.27108,54.861544,0.127997,28.567000000000004
Qatar||2000||27.993,2000,Qatar,34.566157,58.388779,0.137609,27.993
Qatar||2001||28.305666666666667,2001,Qatar,41.214529,67.015494,0.162696,28.305666666666667
Qatar||2002||28.1855,2002,Qatar,40.701936,63.49756,0.157082,28.1855
Qatar||2003||28.325083333333335,2003,Qatar,41.299357,60.556242,0.151969,28.325083333333335
Qatar||2004||28.140416666666667,2004,Qatar,42.71033,56.720226,0.150016,28.140416666666667
Qatar||2005||28.01308333333333,2005,Qatar,50.690079,58.601247,0.172351,28.01308333333333
Qatar||2006||28.071416666666664,2006,Qatar,63.196167,61.775334,0.208056,28.071416666666664
Qatar||2007||28.170416666666668,2007,Qatar,62.899432,51.64157,0.200996,28.170416666666668
Qatar||2008||27.865333333333336,2008,Qatar,64.257096,44.716142,0.201143,27.865333333333336
Qatar||2009||28.1225,2009,Qatar,68.596891,41.448273,0.218016,28.1225
Qatar||2010||28.889583333333334,2010,Qatar,71.919912,38.749953,0.217071,28.889583333333334
Qatar||2011||28.1615,2011,Qatar,79.647573,39.119633,0.232822,28.1615
Qatar||2012||28.4845,2012,Qatar,92.303495,42.032557,0.265545,28.4845
Qatar||2013||28.573750000000004,2013,Qatar,82.697898,35.386349,0.236366,28.573750000000004
Romania||1858||7.135833333333334,1858,Romania,0.003664,0.000433,0.001289,7.135833333333334
Romania||1859||9.252083333333331,1859,Romania,0.003664,0.000431,0.001216,9.252083333333331
Romania||1860||8.93075,1860,Romania,0.003664,0.000428,0.001108,8.93075
Romania||1861||8.123833333333334,1861,Romania,0.007328,0.000849,0.002107,8.123833333333334
Romania||1862||8.43075,1862,Romania,0.010992,0.001266,0.003105,8.43075
Romania||1863||9.509916666666667,1863,Romania,0.010992,0.001257,0.002909,9.509916666666667
Romania||1864||7.475,1864,Romania,0.014656,0.001665,0.0036,7.475
Romania||1865||8.345666666666668,1865,Romania,0.014656,0.001654,0.00339,8.345666666666668
Romania||1866||9.012416666666669,1866,Romania,0.01832,0.002054,0.004108,9.012416666666669
Romania||1867||8.456999999999999,1867,Romania,0.021984,0.002449,0.004601,8.456999999999999
Romania||1868||9.018,1868,Romania,0.025648,0.002839,0.005226,9.018
Romania||1869||9.13775,1869,Romania,0.025648,0.002821,0.004922,9.13775
Romania||1870||7.71875,1870,Romania,0.03664,0.004004,0.00688,7.71875
Romania||1871||7.547999999999999,1871,Romania,0.040304,0.004376,0.007119,7.547999999999999
Romania||1872||9.803416666666664,1872,Romania,0.040304,0.004349,0.006435,9.803416666666664
Romania||1873||9.318166666666666,1873,Romania,0.043968,0.004714,0.006608,9.318166666666666
Romania||1874||8.445833333333333,1874,Romania,0.043968,0.004684,0.007057,8.445833333333333
Romania||1875||7.074666666666666,1875,Romania,0.047632,0.005043,0.007048,7.074666666666666
Romania||1876||8.485999999999999,1876,Romania,0.047632,0.005012,0.006948,8.485999999999999
Romania||1877||8.492916666666668,1877,Romania,0.047632,0.004982,0.006813,8.492916666666668
Romania||1878||9.041916666666667,1878,Romania,0.047632,0.004952,0.006762,9.041916666666667
Romania||1879||8.2465,1879,Romania,0.047632,0.004922,0.00631,8.2465
Romania||1880||8.034166666666666,1880,Romania,0.047632,0.004892,0.005579,8.034166666666666
Romania||1881||7.364833333333333,1881,Romania,0.051296,0.005238,0.005813,7.364833333333333
Romania||1882||9.089166666666667,1882,Romania,0.223504,0.022684,0.023983,9.089166666666667
Romania||1883||7.966333333333334,1883,Romania,0.406704,0.04103,0.041038,7.966333333333334
Romania||1884||8.048083333333333,1884,Romania,0.472656,0.047401,0.047163,8.048083333333333
Romania||1885||8.79575,1885,Romania,0.450672,0.044926,0.044635,8.79575
Romania||1886||9.015666666666666,1886,Romania,0.483648,0.047926,0.047163,9.015666666666666
Romania||1887||8.59125,1887,Romania,0.527616,0.051973,0.049,8.59125
Romania||1888||7.500833333333333,1888,Romania,0.630208,0.06171,0.052858,7.500833333333333
Romania||1889||8.123416666666667,1889,Romania,0.644864,0.062772,0.054108,8.123416666666667
Romania||1890||8.449666666666667,1890,Romania,0.80608,0.078002,0.062079,8.449666666666667
Romania||1891||8.141499999999999,1891,Romania,1.11752,0.107505,0.082238,8.141499999999999
Romania||1892||8.917083333333332,1892,Romania,1.051568,0.100568,0.076752,8.917083333333332
Romania||1893||7.475166666666667,1893,Romania,1.13584,0.107995,0.083908,7.475166666666667
Romania||1894||8.433916666666667,1894,Romania,1.040576,0.098363,0.074281,8.433916666666667
Romania||1895||8.529083333333334,1895,Romania,1.077216,0.101238,0.072526,8.529083333333334
Romania||1896||8.49575,1896,Romania,1.11752,0.104404,0.072864,8.49575
Romania||1897||8.659249999999998,1897,Romania,1.297056,0.12044,0.080747,8.659249999999998
Romania||1898||9.130166666666666,1898,Romania,1.711088,0.157894,0.100992,9.130166666666666
Romania||1899||8.676916666666667,1899,Romania,1.61216,0.147814,0.087101,8.676916666666667
Romania||1900||9.380666666666666,1900,Romania,1.238432,0.112805,0.063392,9.380666666666666
Romania||1901||8.659833333333333,1901,Romania,1.59384,0.144204,0.078965,8.659833333333333
Romania||1902||7.870083333333333,1902,Romania,1.590176,0.14295,0.076822,7.870083333333333
Romania||1903||9.1155,1903,Romania,1.846656,0.164829,0.081761,9.1155
Romania||1904||8.473166666666666,1904,Romania,2.187408,0.193823,0.095823,8.473166666666666
Romania||1905||8.644583333333332,1905,Romania,2.660064,0.233946,0.109416,8.644583333333332
Romania||1906||8.91625,1906,Romania,3.598048,0.314079,0.140867,8.91625
Romania||1907||7.950166666666668,1907,Romania,4.558016,0.39496,0.157835,7.950166666666668
Romania||1908||8.202333333333334,1908,Romania,4.385808,0.377203,0.157803,8.202333333333334
Romania||1909||8.546999999999999,1909,Romania,4.858464,0.413851,0.168075,8.546999999999999
Romania||1910||9.344666666666669,1910,Romania,4.81816,0.40562,0.158902,9.344666666666669
Romania||1911||8.75625,1911,Romania,5.774464,0.480511,0.187041,8.75625
Romania||1912||8.051083333333333,1912,Romania,6.012624,0.491414,0.185953,8.051083333333333
Romania||1913||8.481333333333334,1913,Romania,6.990912,0.565027,0.199839,8.481333333333334
Romania||1914||8.097916666666666,1914,Romania,5.785456,0.465513,0.182277,8.097916666666666
Romania||1915||8.856166666666667,1915,Romania,5.144256,0.414848,0.164333,8.856166666666667
Romania||1916||9.621166666666666,1916,Romania,2.997152,0.242241,0.088708,9.621166666666666
Romania||1917||8.699750000000002,1917,Romania,2.513504,0.203606,0.071132,8.699750000000002
Romania||1918||9.418916666666668,1918,Romania,3.18768,0.258765,0.09151,9.418916666666668
Romania||1919||8.512583333333334,1919,Romania,4.664272,0.379445,0.15445,8.512583333333334
Romania||1920||8.528583333333334,1920,Romania,5.485008,0.445182,0.156117,8.528583333333334
Romania||1921||8.797583333333334,1921,Romania,5.91736,0.476437,0.191927,8.797583333333334
Romania||1922||8.268083333333333,1922,Romania,7.141136,0.567356,0.220799,8.268083333333333
Romania||1923||9.74175,1923,Romania,8.474832,0.663862,0.230884,9.74175
Romania||1924||8.3245,1924,Romania,10.006384,0.772941,0.271692,8.3245
Romania||1925||9.236916666666668,1925,Romania,11.710144,0.891856,0.315654,9.236916666666668
Romania||1926||9.412083333333332,1926,Romania,14.502112,1.089267,0.398169,9.412083333333332
Romania||1927||9.37825,1927,Romania,16.125264,1.1948,0.405323,9.37825
Romania||1928||8.473333333333334,1928,Romania,18.271031,1.335657,0.46143,8.473333333333334
Romania||1929||7.8245,1929,Romania,20.491474,1.477683,0.481904,7.8245
Romania||1930||9.566166666666666,1930,Romania,23.242811,1.652594,0.59302,9.566166666666666
Romania||1931||8.404,1931,Romania,25.848718,1.812177,0.737906,8.404
Romania||1932||8.395999999999999,1932,Romania,27.358226,1.892116,0.866357,8.395999999999999
