Year,France_TotalEmissions,Germany_TotalEmissions,France_PerCapitaEmissions,Germany_PerCapitaEmissions
1792,,0.468992,,0.0
1793,,0.479984,,0.0
1794,,0.443344,,0.0
1795,,0.447008,,0.0
1796,,0.534944,,0.0
1797,,0.5496,,0.0
1798,,0.575248,,0.0
1799,,0.626544,,0.0
1800,,0.795088,,0.03474
1801,,0.534944,,0.023275
1802,2.238704,0.553264,0.075787,0.02397
1803,,0.534944,,0.023079
1804,2.176416,1.0076,0.073219,0.043287
1805,,1.040576,,0.044516
1806,,0.937984,,0.039958
1807,,2.689376,,0.114083
1808,,0.89768,,0.037919
1809,,0.930656,,0.039146
1810,2.121456,0.978288,0.070031,0.040963
1811,2.05184,0.926992,0.067509,0.038632
1812,2.21672,0.912336,0.072679,0.037823
1813,2.048176,0.890352,0.066906,0.036703
1814,2.092144,0.883024,0.068078,0.036178
1815,2.341296,1.029584,0.075877,0.041907
1816,2.498848,2.385264,0.080644,0.096417
1817,2.660064,3.381872,0.085477,0.135716
1818,2.3816,3.532096,0.07619,0.140679
1819,2.557472,3.275616,0.081443,0.129449
1820,2.901888,3.381872,0.091977,0.132582
1821,3.011808,3.532096,0.09501,0.137341
1822,3.16936,3.631024,0.099499,0.140006
1823,3.16936,4.034064,0.099019,0.154209
1824,3.51744,3.231648,0.10936,0.122445
1825,3.95712,4.338176,0.122426,0.162869
1826,4.089024,4.187952,0.125874,0.155749
1827,5.910032,4.539696,0.181003,0.167194
1828,6.243456,4.539696,0.190222,0.165518
1829,6.074912,3.631024,0.184109,0.131011
1830,6.551232,4.792512,0.197476,0.17106
1831,6.052928,4.590992,0.181463,0.162057
1832,6.679472,3.447824,0.199178,0.120384
1833,7.247392,4.37848,0.214986,0.151253
1834,8.92184,4.411456,0.263305,0.150798
1835,9.258928,4.931744,0.271888,0.166835
1836,10.636592,5.191888,0.310831,0.173841
1837,11.351072,5.950336,0.330138,0.197265
1838,11.867696,6.63184,0.343564,0.217781
1839,11.570912,7.020224,0.333455,0.228424
1840,11.79808,9.174656,0.338495,0.295803
1841,13.820608,9.548384,0.394808,0.305037
1842,14.52776,10.88208,0.413228,0.344496
1843,14.549744,10.299504,0.4121,0.323185
1844,15.26056,10.88208,0.430403,0.338567
1845,17.836352,12.611488,0.500937,0.389193
1846,18.528848,13.186736,0.518265,0.403786
1847,20.840832,13.838928,0.580657,0.42052
1848,16.68952,12.827664,0.46326,0.386844
1849,17.38568,13.622752,0.480866,0.407737
1850,19.617056,15.139648,0.540744,0.44974
1851,20.038416,16.869056,0.55054,0.497203
1852,21.569968,19.173712,0.590696,0.560749
1853,25.340224,20.760224,0.691673,0.602403
1854,29.213072,24.3656,0.794792,0.70142
1855,33.071264,28.61584,0.896847,0.817245
1856,34.632128,30.92416,0.936265,0.876351
1857,35.280656,32.93936,0.950825,0.92639
1858,34.595488,35.610416,0.929498,0.993945
1859,34.9912,33.807728,0.93674,0.936278
1860,38.131248,36.394512,1.017883,0.999919
